ID_Cliente,Faixa_Etaria,Motivacao,Interesse_Idioma,Nivel_Atual,Ocupacao,Rede_Social,Orcamento_Mensal,Horario_Estudo
1,25-34,Carreira,Ingles,Intermediario,Tecnologia,LinkedIn,301-500,Noite
2,16-24,Cultura,Japones,Iniciante,Estudante,TikTok,Ate_150,Tarde
3,35-44,Viagens,Espanhol,Basico,Outras_Areas,Facebook,151-300,Flexivel
4,16-24,Estudos,Ingles,Intermediario,Estudante,Instagram,151-300,Noite
5,25-34,Carreira,Alemao,Iniciante,Tecnologia,LinkedIn,Acima_500,Manha
6,45+,Hobby,Italiano,Basico,Empreendedor,Facebook,301-500,Manha
7,16-24,Cultura,Ingles,Basico,Estudante,TikTok,Ate_150,Noite
8,25-34,Carreira,Ingles,Avancado,Empreendedor,LinkedIn,Acima_500,Flexivel
9,35-44,Viagens,Frances,Iniciante,Outras_Areas,Instagram,151-300,Flexivel
10,16-24,Estudos,Espanhol,Intermediario,Estudante,Instagram,Ate_150,Tarde
11,25-34,Carreira,Ingles,Basico,Tecnologia,LinkedIn,301-500,Noite
12,16-24,Cultura,Japones,Basico,Estudante,TikTok,151-300,Noite
13,45+,Viagens,Italiano,Intermediario,Outras_Areas,Facebook,301-500,Manha
14,35-44,Carreira,Ingles,Intermediario,Outras_Areas,LinkedIn,151-300,Noite
15,16-24,Cultura,Ingles,Intermediario,Estudante,Instagram,Ate_150,Tarde
16,25-34,Hobby,Frances,Iniciante,Tecnologia,Instagram,151-300,Flexivel
17,35-44,Carreira,Alemao,Basico,Empreendedor,LinkedIn,Acima_500,Noite
18,16-24,Viagens,Espanhol,Basico,Estudante,TikTok,Ate_150,Flexivel
19,25-34,Estudos,Ingles,Avancado,Tecnologia,LinkedIn,301-500,Noite
20,45+,Hobby,Espanhol,Avancado,Outras_Areas,Facebook,151-300,Manha
21,25-34,Carreira,Ingles,Intermediario,Tecnologia,LinkedIn,301-500,Noite
22,16-24,Cultura,Ingles,Iniciante,Estudante,TikTok,Ate_150,Noite
23,35-44,Viagens,Espanhol,Iniciante,Outras_Areas,Facebook,151-300,Flexivel
24,16-24,Estudos,Frances,Basico,Estudante,Instagram,151-300,Tarde
25,25-34,Carreira,Ingles,Basico,Tecnologia,LinkedIn,Acima_500,Noite
26,45+,Hobby,Italiano,Iniciante,Outras_Areas,Facebook,151-300,Manha
27,16-24,Cultura,Japones,Iniciante,Estudante,TikTok,Ate_150,Noite
28,25-34,Carreira,Ingles,Avancado,Empreendedor,LinkedIn,Acima_500,Flexivel
29,35-44,Viagens,Ingles,Basico,Outras_Areas,Instagram,301-500,Flexivel
30,16-24,Cultura,Espanhol,Basico,Estudante,Instagram,Ate_150,Tarde
31,25-34,Carreira,Alemao,Iniciante,Tecnologia,LinkedIn,301-500,Noite
32,16-24,Cultura,Japones,Basico,Estudante,TikTok,151-300,Tarde
33,45+,Viagens,Italiano,Basico,Empreendedor,Facebook,301-500,Manha
34,35-44,Carreira,Ingles,Intermediario,Tecnologia,LinkedIn,Acima_500,Noite
35,16-24,Cultura,Ingles,Intermediario,Estudante,TikTok,Ate_150,Noite
36,25-34,Hobby,Frances,Basico,Outras_Areas,Instagram,151-300,Flexivel
37,35-44,Carreira,Ingles,Avancado,Empreendedor,LinkedIn,Acima_500,Noite
38,16-24,Estudos,Espanhol,Iniciante,Estudante,TikTok,Ate_150,Tarde
39,25-34,Viagens,Espanhol,Basico,Tecnologia,Instagram,301-500,Flexivel
40,45+,Hobby,Frances,Avancado,Outras_Areas,Facebook,151-300,Manha
41,25-34,Carreira,Ingles,Intermediario,Outras_Areas,LinkedIn,301-500,Noite
42,16-24,Cultura,Japones,Iniciante,Estudante,Instagram,151-300,Noite
43,35-44,Viagens,Italiano,Basico,Empreendedor,Facebook,151-300,Flexivel
44,16-24,Estudos,Ingles,Basico,Estudante,Instagram,151-300,Tarde
45,25-34,Carreira,Ingles,Avancado,Tecnologia,LinkedIn,Acima_500,Noite
46,45+,Hobby,Alemao,Iniciante,Outras_Areas,Nenhuma,301-500,Manha
47,16-24,Cultura,Ingles,Basico,Estudante,TikTok,Ate_150,Tarde
48,25-34,Carreira,Ingles,Intermediario,Empreendedor,LinkedIn,Acima_500,Flexivel
49,35-44,Viagens,Espanhol,Intermediario,Outras_Areas,Facebook,301-500,Flexivel
50,16-24,Cultura,Espanhol,Iniciante,Estudante,TikTok,Ate_150,Noite
51,25-34,Carreira,Ingles,Basico,Tecnologia,LinkedIn,301-500,Noite
52,16-24,Cultura,Japones,Basico,Estudante,TikTok,Ate_150,Tarde
53,45+,Viagens,Italiano,Avancado,Empreendedor,Facebook,Acima_500,Manha
54,35-44,Carreira,Ingles,Intermediario,Outras_Areas,LinkedIn,301-500,Noite
55,16-24,Estudos,Ingles,Intermediario,Estudante,Instagram,151-300,Noite
56,25-34,Hobby,Espanhol,Basico,Tecnologia,Instagram,151-300,Flexivel
57,35-44,Carreira,Alemao,Basico,Tecnologia,LinkedIn,Acima_500,Noite
58,16-24,Viagens,Frances,Iniciante,Estudante,TikTok,Ate_150,Flexivel
59,25-34,Carreira,Ingles,Avancado,Empreendedor,LinkedIn,301-500,Noite
60,45+,Hobby,Italiano,Basico,Outras_Areas,Facebook,151-300,Manha
61,25-34,Carreira,Ingles,Basico,Tecnologia,LinkedIn,301-500,Noite
62,16-24,Cultura,Japones,Iniciante,Estudante,TikTok,151-300,Tarde
63,35-44,Viagens,Espanhol,Basico,Outras_Areas,Facebook,151-300,Flexivel
64,16-24,Estudos,Ingles,Basico,Estudante,Instagram,151-300,Noite
65,25-34,Carreira,Alemao,Iniciante,Tecnologia,LinkedIn,Acima_500,Manha
66,45+,Hobby,Frances,Iniciante,Empreendedor,Nenhuma,301-500,Manha
67,16-24,Cultura,Ingles,Basico,Estudante,TikTok,Ate_150,Noite
68,25-34,Carreira,Ingles,Intermediario,Empreendedor,LinkedIn,Acima_500,Flexivel
69,35-44,Viagens,Italiano,Basico,Outras_Areas,Instagram,151-300,Flexivel
70,16-24,Estudos,Espanhol,Basico,Estudante,Instagram,Ate_150,Tarde
71,25-34,Carreira,Ingles,Intermediario,Tecnologia,LinkedIn,301-500,Noite
72,16-24,Cultura,Japones,Iniciante,Estudante,TikTok,Ate_150,Tarde
73,45+,Viagens,Espanhol,Intermediario,Outras_Areas,Facebook,301-500,Manha
74,35-44,Carreira,Ingles,Avancado,Outras_Areas,LinkedIn,Acima_500,Noite
75,16-24,Cultura,Ingles,Basico,Estudante,Instagram,151-300,Noite
76,25-34,Hobby,Italiano,Iniciante,Tecnologia,Instagram,151-300,Flexivel
77,35-44,Carreira,Alemao,Basico,Empreendedor,LinkedIn,Acima_500,Noite
78,16-24,Viagens,Espanhol,Iniciante,Estudante,TikTok,Ate_150,Flexivel
79,25-34,Estudos,Ingles,Avancado,Tecnologia,LinkedIn,301-500,Noite
80,45+,Hobby,Frances,Intermediario,Outras_Areas,Facebook,151-300,Manha
81,25-34,Carreira,Ingles,Intermediario,Tecnologia,LinkedIn,301-500,Noite
82,16-24,Cultura,Ingles,Iniciante,Estudante,TikTok,Ate_150,Noite
83,35-44,Viagens,Frances,Iniciante,Outras_Areas,Facebook,151-300,Flexivel
84,16-24,Estudos,Espanhol,Basico,Estudante,Instagram,151-300,Tarde
85,25-34,Carreira,Ingles,Basico,Tecnologia,LinkedIn,Acima_500,Noite
86,45+,Hobby,Italiano,Basico,Outras_Areas,Facebook,151-300,Manha
87,16-24,Cultura,Japones,Iniciante,Estudante,TikTok,Ate_150,Noite
88,25-34,Carreira,Ingles,Intermediario,Empreendedor,LinkedIn,Acima_500,Flexivel
89,35-44,Viagens,Ingles,Basico,Outras_Areas,Instagram,301-500,Flexivel
90,16-24,Cultura,Espanhol,Basico,Estudante,Instagram,Ate_150,Tarde
91,25-34,Carreira,Alemao,Iniciante,Tecnologia,LinkedIn,301-500,Noite
92,16-24,Cultura,Japones,Basico,Estudante,TikTok,151-300,Tarde
93,45+,Viagens,Italiano,Basico,Empreendedor,Facebook,301-500,Manha
94,35-44,Carreira,Ingles,Intermediario,Tecnologia,LinkedIn,Acima_500,Noite
95,16-24,Cultura,Ingles,Intermediario,Estudante,TikTok,Ate_150,Noite
96,25-34,Hobby,Frances,Basico,Outras_Areas,Instagram,151-300,Flexivel
97,35-44,Carreira,Ingles,Avancado,Empreendedor,LinkedIn,Acima_500,Noite
98,16-24,Estudos,Espanhol,Iniciante,Estudante,TikTok,Ate_150,Tarde
99,25-34,Viagens,Espanhol,Basico,Tecnologia,Instagram,301-500,Flexivel
100,45+,Hobby,Frances,Avancado,Outras_Areas,Facebook,151-300,Manha
101,25-34,Carreira,Ingles,Intermediario,Outras_Areas,LinkedIn,301-500,Noite
102,16-24,Cultura,Japones,Iniciante,Estudante,Instagram,151-300,Noite
103,35-44,Viagens,Italiano,Basico,Empreendedor,Facebook,151-300,Flexivel
104,16-24,Estudos,Ingles,Basico,Estudante,Instagram,151-300,Tarde
105,25-34,Carreira,Ingles,Avancado,Tecnologia,LinkedIn,Acima_500,Noite
106,45+,Hobby,Alemao,Iniciante,Outras_Areas,Nenhuma,301-500,Manha
107,16-24,Cultura,Ingles,Basico,Estudante,TikTok,Ate_150,Tarde
108,25-34,Carreira,Ingles,Intermediario,Empreendedor,LinkedIn,Acima_500,Flexivel
109,35-44,Viagens,Espanhol,Intermediario,Outras_Areas,Facebook,301-500,Flexivel
110,16-24,Cultura,Espanhol,Iniciante,Estudante,TikTok,Ate_150,Noite
111,25-34,Carreira,Ingles,Basico,Tecnologia,LinkedIn,301-500,Noite
112,16-24,Cultura,Japones,Basico,Estudante,TikTok,Ate_150,Tarde
113,45+,Viagens,Italiano,Avancado,Empreendedor,Facebook,Acima_500,Manha
114,35-44,Carreira,Ingles,Intermediario,Outras_Areas,LinkedIn,301-500,Noite
115,16-24,Estudos,Ingles,Intermediario,Estudante,Instagram,151-300,Noite
116,25-34,Hobby,Espanhol,Basico,Tecnologia,Instagram,151-300,Flexivel
117,35-44,Carreira,Alemao,Basico,Tecnologia,LinkedIn,Acima_500,Noite
118,16-24,Viagens,Frances,Iniciante,Estudante,TikTok,Ate_150,Flexivel
119,25-34,Carreira,Ingles,Avancado,Empreendedor,LinkedIn,301-500,Noite
120,45+,Hobby,Italiano,Basico,Outras_Areas,Facebook,151-300,Manha
121,25-34,Carreira,Ingles,Basico,Tecnologia,LinkedIn,301-500,Noite
122,16-24,Cultura,Japones,Iniciante,Estudante,TikTok,151-300,Tarde
123,35-44,Viagens,Espanhol,Basico,Outras_Areas,Facebook,151-300,Flexivel
124,16-24,Estudos,Ingles,Basico,Estudante,Instagram,151-300,Noite
125,25-34,Carreira,Alemao,Iniciante,Tecnologia,LinkedIn,Acima_500,Manha
126,45+,Hobby,Frances,Iniciante,Empreendedor,Nenhuma,301-500,Manha
127,16-24,Cultura,Ingles,Basico,Estudante,TikTok,Ate_150,Noite
128,25-34,Carreira,Ingles,Intermediario,Empreendedor,LinkedIn,Acima_500,Flexivel
129,35-44,Viagens,Italiano,Basico,Outras_Areas,Instagram,151-300,Flexivel
130,16-24,Estudos,Espanhol,Basico,Estudante,Instagram,Ate_150,Tarde
131,25-34,Carreira,Ingles,Intermediario,Tecnologia,LinkedIn,301-500,Noite
132,16-24,Cultura,Japones,Iniciante,Estudante,TikTok,Ate_150,Tarde
133,45+,Viagens,Espanhol,Intermediario,Outras_Areas,Facebook,301-500,Manha
134,35-44,Carreira,Ingles,Avancado,Outras_Areas,LinkedIn,Acima_500,Noite
135,16-24,Cultura,Ingles,Basico,Estudante,Instagram,151-300,Noite
136,25-34,Hobby,Italiano,Iniciante,Tecnologia,Instagram,151-300,Flexivel
137,35-44,Carreira,Alemao,Basico,Empreendedor,LinkedIn,Acima_500,Noite
138,16-24,Viagens,Espanhol,Iniciante,Estudante,TikTok,Ate_150,Flexivel
139,25-34,Estudos,Ingles,Avancado,Tecnologia,LinkedIn,301-500,Noite
140,45+,Hobby,Frances,Intermediario,Outras_Areas,Facebook,151-300,Manha
141,25-34,Carreira,Ingles,Intermediario,Tecnologia,LinkedIn,301-500,Noite
142,16-24,Cultura,Ingles,Iniciante,Estudante,TikTok,Ate_150,Noite
143,35-44,Viagens,Frances,Iniciante,Outras_Areas,Facebook,151-300,Flexivel
144,16-24,Estudos,Espanhol,Basico,Estudante,Instagram,151-300,Tarde
145,25-34,Carreira,Ingles,Basico,Tecnologia,LinkedIn,Acima_500,Noite
146,45+,Hobby,Italiano,Basico,Outras_Areas,Facebook,151-300,Manha
147,16-24,Cultura,Japones,Iniciante,Estudante,TikTok,Ate_150,Noite
148,25-34,Carreira,Ingles,Intermediario,Empreendedor,LinkedIn,Acima_500,Flexivel
149,35-44,Viagens,Ingles,Basico,Outras_Areas,Instagram,301-500,Flexivel
150,16-24,Cultura,Espanhol,Basico,Estudante,Instagram,Ate_150,Tarde
151,25-34,Carreira,Alemao,Iniciante,Tecnologia,LinkedIn,301-500,Noite
152,16-24,Cultura,Japones,Basico,Estudante,TikTok,151-300,Tarde
153,45+,Viagens,Italiano,Basico,Empreendedor,Facebook,301-500,Manha
154,35-44,Carreira,Ingles,Intermediario,Tecnologia,LinkedIn,Acima_500,Noite
155,16-24,Cultura,Ingles,Intermediario,Estudante,TikTok,Ate_150,Noite
156,25-34,Hobby,Frances,Basico,Outras_Areas,Instagram,151-300,Flexivel
157,35-44,Carreira,Ingles,Avancado,Empreendedor,LinkedIn,Acima_500,Noite
158,16-24,Estudos,Espanhol,Iniciante,Estudante,TikTok,Ate_150,Tarde
159,25-34,Viagens,Espanhol,Basico,Tecnologia,Instagram,301-500,Flexivel
160,45+,Hobby,Frances,Avancado,Outras_Areas,Facebook,151-300,Manha
161,25-34,Carreira,Ingles,Intermediario,Outras_Areas,LinkedIn,301-500,Noite
162,16-24,Cultura,Japones,Iniciante,Estudante,Instagram,151-300,Noite
163,35-44,Viagens,Italiano,Basico,Empreendedor,Facebook,151-300,Flexivel
164,16-24,Estudos,Ingles,Basico,Estudante,Instagram,151-300,Tarde
165,25-34,Carreira,Ingles,Avancado,Tecnologia,LinkedIn,Acima_500,Noite
166,45+,Hobby,Alemao,Iniciante,Outras_Areas,Nenhuma,301-500,Manha
167,16-24,Cultura,Ingles,Basico,Estudante,TikTok,Ate_150,Tarde
168,25-34,Carreira,Ingles,Intermediario,Empreendedor,LinkedIn,Acima_500,Flexivel
169,35-44,Viagens,Espanhol,Intermediario,Outras_Areas,Facebook,301-500,Flexivel
170,16-24,Cultura,Espanhol,Iniciante,Estudante,TikTok,Ate_150,Noite
171,25-34,Carreira,Ingles,Basico,Tecnologia,LinkedIn,301-500,Noite
172,16-24,Cultura,Japones,Basico,Estudante,TikTok,Ate_150,Tarde
173,45+,Viagens,Italiano,Avancado,Empreendedor,Facebook,Acima_500,Manha
174,35-44,Carreira,Ingles,Intermediario,Outras_Areas,LinkedIn,301-500,Noite
175,16-24,Estudos,Ingles,Intermediario,Estudante,Instagram,151-300,Noite
176,25-34,Hobby,Espanhol,Basico,Tecnologia,Instagram,151-300,Flexivel
177,35-44,Carreira,Alemao,Basico,Tecnologia,LinkedIn,Acima_500,Noite
178,16-24,Viagens,Frances,Iniciante,Estudante,TikTok,Ate_150,Flexivel
179,25-34,Carreira,Ingles,Avancado,Empreendedor,LinkedIn,301-500,Noite
180,45+,Hobby,Italiano,Basico,Outras_Areas,Facebook,151-300,Manha
181,25-34,Carreira,Ingles,Basico,Tecnologia,LinkedIn,301-500,Noite
182,16-24,Cultura,Japones,Iniciante,Estudante,TikTok,151-300,Tarde
183,35-44,Viagens,Espanhol,Basico,Outras_Areas,Facebook,151-300,Flexivel
184,16-24,Estudos,Ingles,Basico,Estudante,Instagram,151-300,Noite
185,25-34,Carreira,Alemao,Iniciante,Tecnologia,LinkedIn,Acima_500,Manha
186,45+,Hobby,Frances,Iniciante,Empreendedor,Nenhuma,301-500,Manha
187,16-24,Cultura,Ingles,Basico,Estudante,TikTok,Ate_150,Noite
188,25-34,Carreira,Ingles,Intermediario,Empreendedor,LinkedIn,Acima_500,Flexivel
189,35-44,Viagens,Italiano,Basico,Outras_Areas,Instagram,151-300,Flexivel
190,16-24,Estudos,Espanhol,Basico,Estudante,Instagram,Ate_150,Tarde
191,25-34,Carreira,Ingles,Intermediario,Tecnologia,LinkedIn,301-500,Noite
192,16-24,Cultura,Japones,Iniciante,Estudante,TikTok,Ate_150,Tarde
193,45+,Viagens,Espanhol,Intermediario,Outras_Areas,Facebook,301-500,Manha
194,35-44,Carreira,Ingles,Avancado,Outras_Areas,LinkedIn,Acima_500,Noite
195,16-24,Cultura,Ingles,Basico,Estudante,Instagram,151-300,Noite
196,25-34,Hobby,Italiano,Iniciante,Tecnologia,Instagram,151-300,Flexivel
197,35-44,Carreira,Alemao,Basico,Empreendedor,LinkedIn,Acima_500,Noite
198,16-24,Viagens,Espanhol,Iniciante,Estudante,TikTok,Ate_150,Flexivel
199,25-34,Estudos,Ingles,Avancado,Tecnologia,LinkedIn,301-500,Noite
200,45+,Hobby,Frances,Intermediario,Outras_Areas,Facebook,151-300,Manha
201,25-34,Carreira,Ingles,Intermediario,Tecnologia,LinkedIn,301-500,Noite
202,16-24,Cultura,Ingles,Iniciante,Estudante,TikTok,Ate_150,Noite
203,35-44,Viagens,Frances,Iniciante,Outras_Areas,Facebook,151-300,Flexivel
204,16-24,Estudos,Espanhol,Basico,Estudante,Instagram,151-300,Tarde
205,25-34,Carreira,Ingles,Basico,Tecnologia,LinkedIn,Acima_500,Noite
206,45+,Hobby,Italiano,Basico,Outras_Areas,Facebook,151-300,Manha
207,16-24,Cultura,Japones,Iniciante,Estudante,TikTok,Ate_150,Noite
208,25-34,Carreira,Ingles,Intermediario,Empreendedor,LinkedIn,Acima_500,Flexivel
209,35-44,Viagens,Ingles,Basico,Outras_Areas,Instagram,301-500,Flexivel
210,16-24,Cultura,Espanhol,Basico,Estudante,Instagram,Ate_150,Tarde
211,25-34,Carreira,Alemao,Iniciante,Tecnologia,LinkedIn,301-500,Noite
212,16-24,Cultura,Japones,Basico,Estudante,TikTok,151-300,Tarde
213,45+,Viagens,Italiano,Basico,Empreendedor,Facebook,301-500,Manha
214,35-44,Carreira,Ingles,Intermediario,Tecnologia,LinkedIn,Acima_500,Noite
215,16-24,Cultura,Ingles,Intermediario,Estudante,TikTok,Ate_150,Noite
216,25-34,Hobby,Frances,Basico,Outras_Areas,Instagram,151-300,Flexivel
217,35-44,Carreira,Ingles,Avancado,Empreendedor,LinkedIn,Acima_500,Noite
218,16-24,Estudos,Espanhol,Iniciante,Estudante,TikTok,Ate_150,Tarde
219,25-34,Viagens,Espanhol,Basico,Tecnologia,Instagram,301-500,Flexivel
220,45+,Hobby,Frances,Avancado,Outras_Areas,Facebook,151-300,Manha
221,25-34,Carreira,Ingles,Intermediario,Outras_Areas,LinkedIn,301-500,Noite
222,16-24,Cultura,Japones,Iniciante,Estudante,Instagram,151-300,Noite
223,35-44,Viagens,Italiano,Basico,Empreendedor,Facebook,151-300,Flexivel
224,16-24,Estudos,Ingles,Basico,Estudante,Instagram,151-300,Tarde
225,25-34,Carreira,Ingles,Avancado,Tecnologia,LinkedIn,Acima_500,Noite
226,45+,Hobby,Alemao,Iniciante,Outras_Areas,Nenhuma,301-500,Manha
227,16-24,Cultura,Ingles,Basico,Estudante,TikTok,Ate_150,Tarde
228,25-34,Carreira,Ingles,Intermediario,Empreendedor,LinkedIn,Acima_500,Flexivel
229,35-44,Viagens,Espanhol,Intermediario,Outras_Areas,Facebook,301-500,Flexivel
230,16-24,Cultura,Espanhol,Iniciante,Estudante,TikTok,Ate_150,Noite
231,25-34,Carreira,Ingles,Basico,Tecnologia,LinkedIn,301-500,Noite
232,16-24,Cultura,Japones,Basico,Estudante,TikTok,Ate_150,Tarde
233,45+,Viagens,Italiano,Avancado,Empreendedor,Facebook,Acima_500,Manha
234,35-44,Carreira,Ingles,Intermediario,Outras_Areas,LinkedIn,301-500,Noite
235,16-24,Estudos,Ingles,Intermediario,Estudante,Instagram,151-300,Noite
236,25-34,Hobby,Espanhol,Basico,Tecnologia,Instagram,151-300,Flexivel
237,35-44,Carreira,Alemao,Basico,Tecnologia,LinkedIn,Acima_500,Noite
238,16-24,Viagens,Frances,Iniciante,Estudante,TikTok,Ate_150,Flexivel
239,25-34,Carreira,Ingles,Avancado,Empreendedor,LinkedIn,301-500,Noite
240,45+,Hobby,Italiano,Basico,Outras_Areas,Facebook,151-300,Manha
241,25-34,Carreira,Ingles,Basico,Tecnologia,LinkedIn,301-500,Noite
242,16-24,Cultura,Japones,Iniciante,Estudante,TikTok,151-300,Tarde
243,35-44,Viagens,Espanhol,Basico,Outras_Areas,Facebook,151-300,Flexivel
244,16-24,Estudos,Ingles,Basico,Estudante,Instagram,151-300,Noite
245,25-34,Carreira,Alemao,Iniciante,Tecnologia,LinkedIn,Acima_500,Manha
246,45+,Hobby,Frances,Iniciante,Empreendedor,Nenhuma,301-500,Manha
247,16-24,Cultura,Ingles,Basico,Estudante,TikTok,Ate_150,Noite
248,25-34,Carreira,Ingles,Intermediario,Empreendedor,LinkedIn,Acima_500,Flexivel
249,35-44,Viagens,Italiano,Basico,Outras_Areas,Instagram,151-300,Flexivel
250,16-24,Estudos,Espanhol,Basico,Estudante,Instagram,Ate_150,Tarde
251,25-34,Carreira,Ingles,Intermediario,Tecnologia,LinkedIn,301-500,Noite
252,16-24,Cultura,Japones,Iniciante,Estudante,TikTok,Ate_150,Tarde
253,45+,Viagens,Espanhol,Intermediario,Outras_Areas,Facebook,301-500,Manha
254,35-44,Carreira,Ingles,Avancado,Outras_Areas,LinkedIn,Acima_500,Noite
255,16-24,Cultura,Ingles,Basico,Estudante,Instagram,151-300,Noite
256,25-34,Hobby,Italiano,Iniciante,Tecnologia,Instagram,151-300,Flexivel
257,35-44,Carreira,Alemao,Basico,Empreendedor,LinkedIn,Acima_500,Noite
258,16-24,Viagens,Espanhol,Iniciante,Estudante,TikTok,Ate_150,Flexivel
259,25-34,Estudos,Ingles,Avancado,Tecnologia,LinkedIn,301-500,Noite
260,45+,Hobby,Frances,Intermediario,Outras_Areas,Facebook,151-300,Manha
261,25-34,Carreira,Ingles,Intermediario,Tecnologia,LinkedIn,301-500,Noite
262,16-24,Cultura,Ingles,Iniciante,Estudante,TikTok,Ate_150,Noite
263,35-44,Viagens,Frances,Iniciante,Outras_Areas,Facebook,151-300,Flexivel
264,16-24,Estudos,Espanhol,Basico,Estudante,Instagram,151-300,Tarde
265,25-34,Carreira,Ingles,Basico,Tecnologia,LinkedIn,Acima_500,Noite
266,45+,Hobby,Italiano,Basico,Outras_Areas,Facebook,151-300,Manha
267,16-24,Cultura,Japones,Iniciante,Estudante,TikTok,Ate_150,Noite
268,25-34,Carreira,Ingles,Intermediario,Empreendedor,LinkedIn,Acima_500,Flexivel
269,35-44,Viagens,Ingles,Basico,Outras_Areas,Instagram,301-500,Flexivel
270,16-24,Cultura,Espanhol,Basico,Estudante,Instagram,Ate_150,Tarde
271,25-34,Carreira,Alemao,Iniciante,Tecnologia,LinkedIn,301-500,Noite
272,16-24,Cultura,Japones,Basico,Estudante,TikTok,151-300,Tarde
273,45+,Viagens,Italiano,Basico,Empreendedor,Facebook,301-500,Manha
274,35-44,Carreira,Ingles,Intermediario,Tecnologia,LinkedIn,Acima_500,Noite
275,16-24,Cultura,Ingles,Intermediario,Estudante,TikTok,Ate_150,Noite
276,25-34,Hobby,Frances,Basico,Outras_Areas,Instagram,151-300,Flexivel
277,35-44,Carreira,Ingles,Avancado,Empreendedor,LinkedIn,Acima_500,Noite
278,16-24,Estudos,Espanhol,Iniciante,Estudante,TikTok,Ate_150,Tarde
279,25-34,Viagens,Espanhol,Basico,Tecnologia,Instagram,301-500,Flexivel
280,45+,Hobby,Frances,Avancado,Outras_Areas,Facebook,151-300,Manha
281,25-34,Carreira,Ingles,Intermediario,Outras_Areas,LinkedIn,301-500,Noite
282,16-24,Cultura,Japones,Iniciante,Estudante,Instagram,151-300,Noite
283,35-44,Viagens,Italiano,Basico,Empreendedor,Facebook,151-300,Flexivel
284,16-24,Estudos,Ingles,Basico,Estudante,Instagram,151-300,Tarde
285,25-34,Carreira,Ingles,Avancado,Tecnologia,LinkedIn,Acima_500,Noite
286,45+,Hobby,Alemao,Iniciante,Outras_Areas,Nenhuma,301-500,Manha
287,16-24,Cultura,Ingles,Basico,Estudante,TikTok,Ate_150,Tarde
288,25-34,Carreira,Ingles,Intermediario,Empreendedor,LinkedIn,Acima_500,Flexivel
289,35-44,Viagens,Espanhol,Intermediario,Outras_Areas,Facebook,301-500,Flexivel
290,16-24,Cultura,Espanhol,Iniciante,Estudante,TikTok,Ate_150,Noite
291,25-34,Carreira,Ingles,Basico,Tecnologia,LinkedIn,301-500,Noite
292,16-24,Cultura,Japones,Basico,Estudante,TikTok,Ate_150,Tarde
293,45+,Viagens,Italiano,Avancado,Empreendedor,Facebook,Acima_500,Manha
294,35-44,Carreira,Ingles,Intermediario,Outras_Areas,LinkedIn,301-500,Noite
295,16-24,Estudos,Ingles,Intermediario,Estudante,Instagram,151-300,Noite
296,25-34,Hobby,Espanhol,Basico,Tecnologia,Instagram,151-300,Flexivel
297,35-44,Carreira,Alemao,Basico,Tecnologia,LinkedIn,Acima_500,Noite
298,16-24,Viagens,Frances,Iniciante,Estudante,TikTok,Ate_150,Flexivel
299,25-34,Carreira,Ingles,Avancado,Empreendedor,LinkedIn,301-500,Noite
300,45+,Hobby,Italiano,Basico,Outras_Areas,Facebook,151-300,Manha
